School_Name,District,Latitude,Longitude
BEF School Quetta Central,Quetta,30.1856,66.9840
BEF School Kalat Town,Kalat,29.0350,66.5980
BEF School Mastung City,Mastung,29.8050,66.8520
BEF School Sibi Area,Sibi,29.5500,67.8850
BEF School Loralai Center,Loralai,30.3800,68.6050
BEF School Zhob Valley,Zhob,31.3500,69.4580
BEF School Pishin Town,Pishin,30.5900,66.9990
BEF School Chaman Border,Chaman,30.9300,66.4580
BEF School Killa Abdullah,Killa Abdullah,30.6100,66.7400
BEF School Nushki Center,Nushki,29.5600,65.9950
