Government_School,Government_District,Government_Latitude,Government_Longitude,BEF_School,BEF_District,Distance_KM
GBPS JUMA KHAN BUGTI,Sohbat Pur,28.4394752214081,68.9278531797426,Darya khan gajani/Arbab Pandrani,Sohbat Pur,9.19
GBPS MUHAMMAD MALOOK BUGTI,Sohbat Pur,28.4390552350501,68.918447274856,Darya khan gajani/Arbab Pandrani,Sohbat Pur,8.31
GBMIDS SAQKHEERA KHAN BAJKHANI,Sohbat Pur,28.4330619001105,68.888019970641,Darya khan gajani/Arbab Pandrani,Sohbat Pur,5.79
GBMIDS TAJA KHAN BAJKHANI,Sohbat Pur,28.4420154504326,68.8969778665782,Darya khan gajani/Arbab Pandrani,Sohbat Pur,6.2
GBMIDS BALOCH KHAN KANRANI,Sohbat Pur,28.4354263444007,68.9071970759204,Darya khan gajani/Arbab Pandrani,Sohbat Pur,7.39
GBPS RUSTAM KHAN GAJANI,Sohbat Pur,28.4287852201438,68.8451165875651,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.43
GBPS MUHAMMAD HAYAT KHAN GAJANI,Sohbat Pur,28.4385078121635,68.8381074381543,Darya khan gajani/Arbab Pandrani,Sohbat Pur,2.25
GBPS MUHAMMAD HAYAT KHAN GAJANI,Sohbat Pur,28.4385078121635,68.8381074381543,Goth Gul Sher Kandrani,Sohbat Pur,9.11
GBPS GHULAM MUHAMMAD BHARANI,Sohbat Pur,28.4326226060044,68.834478117434,Darya khan gajani/Arbab Pandrani,Sohbat Pur,2.91
GBPS GHULAM MUHAMMAD BHARANI,Sohbat Pur,28.4326226060044,68.834478117434,Goth Gul Sher Kandrani,Sohbat Pur,9.22
GBHS SHAH DAD GHAJANI,Sohbat Pur,28.4371846831038,68.8158127536539,Raheem Bakhsh Kandrani,Sohbat Pur,8.85
GBHS SHAH DAD GHAJANI,Sohbat Pur,28.4371846831038,68.8158127536539,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.14
GBHS SHAH DAD GHAJANI,Sohbat Pur,28.4371846831038,68.8158127536539,Goth Gul Sher Kandrani,Sohbat Pur,7.52
GBPS ABDUL AZIZ GAJANI,Sohbat Pur,28.4395115082893,68.8151851924292,Raheem Bakhsh Kandrani,Sohbat Pur,8.81
GBPS ABDUL AZIZ GAJANI,Sohbat Pur,28.4395115082893,68.8151851924292,Darya khan gajani/Arbab Pandrani,Sohbat Pur,2.99
GBPS ABDUL AZIZ GAJANI,Sohbat Pur,28.4395115082893,68.8151851924292,Goth Gul Sher Kandrani,Sohbat Pur,7.29
GBPS DEGI KHAN GAJANI,Sohbat Pur,28.4429275656156,68.8179721620035,Raheem Bakhsh Kandrani,Sohbat Pur,9.11
GBPS DEGI KHAN GAJANI,Sohbat Pur,28.4429275656156,68.8179721620035,Darya khan gajani/Arbab Pandrani,Sohbat Pur,2.53
GBPS DEGI KHAN GAJANI,Sohbat Pur,28.4429275656156,68.8179721620035,Goth Gul Sher Kandrani,Sohbat Pur,7.24
GBHSS MUHAMMAD SALAH GAJANI,Sohbat Pur,28.4445370850717,68.8025591713018,Raheem Bakhsh Kandrani,Sohbat Pur,7.64
