S.no,BemisCode,District,Tehsil,UC,SchoolName,gps_Point,_xCord,_yCord
01,45001,Awaran,Awaran,Gishkore,Sheer jan Bazaar Haikhan,26.2643115 64.6733972,26.2643115,64.6733972
02,45002,Awaran,Awaran,Gishkore,Gohram Joe,26.1967973 64.8649308,26.1967973,64.8649308
03,45003,Awaran,Awaran,Gishkore,Imam Bakhsh Bazaar Keenachi,26.1773037 64.8306105,26.1773037,64.8306105
04,45004,Awaran,Awaran,Gishkore,Sari Bani,26.2142117 64.9097661,26.2142117,64.9097661
05,45005,Awaran,Awaran,Gishkore,Chota Bazaar,26.1773434 64.802211,26.1773434,64.802211
06,45006,Awaran,Awaran,Gishkore,Saleh Bazaar Keenachi,26.1473376 64.7846753,26.1473376,64.7846753
07,45007,Awaran,Awaran,Gishkore,Murghi Ziarth ,26.0858741 64.7369376,26.0858741,64.7369376
08,45008,Awaran,Awaran,Gishkore,Mohammad Bazaar Keenachi,26.1590486 64.7900279,26.1590486,64.7900279
09,45009,Awaran,Awaran,Gishkore,Dost Moammad Bazaar,26.25787 64.7506352,26.25787,64.7506352
10,45010,Awaran,Awaran,Gishkore,Murad Mohammad Bazaar Hore,26.2204625 64.6210453,26.2204625,64.6210453
11,45011,Awaran,Awaran,Teertage,Kalath e Bun Reegathi,26.3524413 65.045865,26.3524413,65.045865
12,45012,Awaran,Awaran,Teertage,Candan e dhan,26.4228008 65.1328819,26.4228008,65.1328819
13,45013,Awaran,Awaran,Teertage,Dehwar,26.3116474 65.0332617,26.3116474,65.0332617
14,45014,Awaran,Awaran,Awaran,Mohd Kareem bazar Zoomdan/Mandi Parag,26.5138245 65.3202111,26.5138245,65.3202111
15,45015,Awaran,Awaran,Gishkore,Sorag ,26.2838294 64.7996316,26.2838294,64.7996316
16,45016,Awaran,Awaran,Teertage,Kulli No 2,26.3003897 65.0224701,26.3003897,65.0224701
17,45017,Awaran,Awaran,Gishkore,Gorestani,26.2725131 64.9188362,26.2725131,64.9188362
18,45018,Awaran,Awaran,Gishkore,Karki Gishkore,26.1057368 64.6973883,26.1057368,64.6973883
19,45019,Awaran,Awaran,Gishkore,Sawali Bazaar Gishkore/Raza Mohammad Bazar,26.3475019 65.1046998,26.3475019,65.1046998
20,45020,Awaran,Awaran,Gishkore,Kuch,26.2665967 64.7458977,26.2665967,64.7458977
21,45724,Awaran,Awaran,Gishkor,Muhammad Noor Bazar,26.2177722 64.5024815,26.2177722,64.5024815
22,45021,Barkhan,Barkhan,Chor cot,Lohma Muhammad Khan ,29.9176314 69.6228642,29.9176314,69.6228642
23,45022,Barkhan,Barkhan,Chor cot,Basti Qadir Kundra,30.0262328 69.7598263,30.0262328,69.7598263
24,45023,Barkhan,Barkhan,Eshani,Basti Ghulam Qadar,30.1085551 69.7715697,30.1085551,69.7715697
25,45024,Barkhan,Barkhan,Eshani,Basti Gul Khan Mara,30.0435076 69.7722951,30.0435076,69.7722951
26,45025,Barkhan,Barkhan,Eshani,Basti Kaimani,30.0739713 69.8292104,30.0739713,69.8292104
27,45027,Barkhan,Barkhan,Nahar Kot ,Basti Bahodra,29.8016394 69.4686674,29.8016394,69.4686674
28,45028,Barkhan,Barkhan,Nahar Kot ,Basti Singali,29.7118287 69.3969,29.7118287,69.3969
29,45029,Barkhan,Barkhan,Nahar Kot ,Basti Look Jothal,29.7503468 69.4053961,29.7503468,69.4053961
30,45030,Barkhan,Barkhan,Nahar Kot ,Basti Ahmed Nala,29.722414 69.5030198,29.722414,69.5030198
31,45031,Barkhan,Barkhan,Rakni ,Basti Karam Khan Zadeen,30.0341844 69.8852711,30.0341844,69.8852711
32,45032,Barkhan,Barkhan,Rakni ,Basti Kandily,30.1426607 69.8692238,30.1426607,69.8692238
33,45033,Barkhan,Barkhan,Rakni ,Dargai Muhamamd,30.211957 69.9410132,30.211957,69.9410132
34,45034,Barkhan,Barkhan,Rakni ,Basti Raba Raje,30.2143613 69.98138,30.2143613,69.98138
35,45687,Barkhan,Barkhan,Vitakri,Basti Kawani Nawazabad,29.7265374 69.2244876,29.7265374,69.2244876
36,45688,Barkhan,Barkhan,Vitakri,Basti Malak Gulzar,29.8210431 69.2873971,29.8210431,69.2873971
37,45689,Barkhan,Barkhan,Vitakri,Basti Hotiani Mari,29.6330327 69.2894994,29.6330327,69.2894994
38,45690,Barkhan,Barkhan,Narkoht,Basti Muhammad Sadiq Kakor Raiko,29.692567 69.4230347,29.692567,69.4230347
39,45722,Barkhan,Barkhan,,Killi Muarad Ali,29.6678326 69.392585,29.6678326,69.392585
40,45035,Bolan,Bhag,Mohram,Bhand Gulsher/New Manjoo,28.8481759 67.9212987,28.8481759,67.9212987
41,45036,Bolan,Bhag,jalal khan,Sathiyanni/Bhair Gari,28.9975418 67.9347067,28.9975418,67.9347067
42,45037,Bolan,Bhag,jalal khan,M Bux Gola,29.0631838 67.679963,29.0631838,67.679963
43,45038,Bolan,Bhag,jalal khan,Lashkar Abad,28.9689037 67.7335223,28.9689037,67.7335223
44,45039,Bolan,Bhag,Mohram,Arbani Sharki,28.8083798 67.8955476,28.8083798,67.8955476
45,45040,Bolan,Bhag,Mohram,Takri Arbab,28.8120013 67.8723091,28.8120013,67.8723091
46,45041,Bolan,Bhag,Mohram,Marro Pur,28.6685525 67.8197821,28.6685525,67.8197821
47,45042,Bolan,Bhag,Mohram,Kot Ghulam Ali,28.9183671 67.743792,28.9183671,67.743792
48,45043,Bolan,Bhag,Mohram,Abdul Nabi Dharpali,28.5570246 67.9061398,28.5570246,67.9061398
49,45045,Bolan,Dader,Ghazi,Goth Noor Muhammad,29.1893843 67.8178539,29.1893843,67.8178539
50,45046,Bolan,Bhag,Mohram,Jafferababad,28.9473757 67.7472392,28.9473757,67.7472392
51,45047,Bolan,Bhag,jalal khan,Shaffee Mohammad/Zull faqar Abad,,,
52,45048,Bolan,Bhag,Noshera,Gul Jan,29.0992263 67.768565,29.0992263,67.768565
53,45049,Bolan,Bhag,Noshera,Gambat,29.1342824 67.9160401,29.1342824,67.9160401
54,45050,Bolan,Bhag,Noshera,Babar Dodoi,29.1242579 67.8985246,29.1242579,67.8985246
55,45051,Bolan,Dhadar,kattan,Ali Sheer Abro,29.1275794 67.754309,29.1275794,67.754309
56,45052,Bolan,Bhag,Noshera,Fatwani,29.1171973 67.8255835,29.1171973,67.8255835
57,45053,Bolan,Bhag,Noshera,Gujar,29.1084659 67.7431436,29.1084659,67.7431436
58,45054,Bolan,Dhadar,Ghazi,Chambaig Mohammad ,29.2139448 67.7803878,29.2139448,67.7803878
59,45055,Bolan,Dhadar,haji shar,Gawar Gari,29.2323833 67.9026452,29.2323833,67.9026452
60,45056,Bolan,Dhadar,Goor,Gogra Mari,29.2257244 67.7801815,29.2257244,67.7801815
61,45057,Bolan,Dhadar,Goor,Lund/Dawood Bangulzai,29.2153414 67.8945036,29.2153414,67.8945036
62,45058,Bolan,Dhadar,mashkaf,Mewa Khan,29.5032184 67.6650986,29.5032184,67.6650986
63,45059,Bolan,Dhadar,Mathri,Mal Suhriani,29.3688531 67.9891271,29.3688531,67.9891271
64,45060,Bolan,Dhadar,Mathri,Pir Bukhari,29.3768713 67.5942268,29.3768713,67.5942268
65,45061,Bolan,Dhadar,chandar,Meroo,29.1474914 67.9147869,29.1474914,67.9147869
66,45062,Bolan,Dhadar,chandar,Gamoo,29.2058913 67.8645,29.2058913,67.8645
67,45063,Bolan,Dhadar,chandar,Koti Kalhorri,29.1464297 67.9513791,29.1464297,67.9513791
68,45064,Bolan,Dhadar,chandar,Wahga Shahwani,29.2750071 67.7389036,29.2750071,67.7389036
69,45065,Bolan,Dhadar,chandar,Rasool Bukhsh Bangulzai,29.1179616 67.9105909,29.1179616,67.9105909
70,45066,Bolan,Dhadar,chandar,Muhammad Pur Raisani/Sultan Pur,28.765905 67.8851567,28.765905,67.8851567
71,45067,Bolan,Dhadar,chandar,Atur Khan,29.1872846 67.8819293,29.1872846,67.8819293
72,45068,Bolan,Mach,aabay gum,Godri,29.7005263 67.3931172,29.7005263,67.3931172
73,45069,Bolan,Mach,Mach,Gharib Abad,29.8635043 67.332274,29.8635043,67.332274
74,45070,Chaghi,Dalbandin,Chilghazi,Faqeer Dad Drajaap,28.9075909 63.8398557,28.9075909,63.8398557
75,45071,Chaghi,Dalbandin,Aamri,Abdul khaliq Nooli,28.8369937 63.7339598,28.8369937,63.7339598
76,45072,Chaghi,Dalbandin,Zyarat Balanosh,Dad Karim,29.2816829 64.5400576,29.2816829,64.5400576
77,45073,Chaghi,Dalbandin,Zyarat Balanosh,Faqeer Muhammad hayat,29.1641662 64.4939626,29.1641662,64.4939626
78,45074,Chaghi,Dalbandin,Zyarat Balanosh,Sayad Qadir Bakhsh,29.2854212 64.471171,29.2854212,64.471171
79,45075,Chaghi,Dalbandin,Chilghazi,Sulaiman Soran,,,
80,45076,Chaghi,Dalbandin,Chaghi,Khuda-e-Dad,29.3322055 64.6664129,29.3322055,64.6664129
81,45077,Chaghi,Dalbandin,Chilghazi,Bhai khan gazzi,28.8698317 64.3302333,28.8698317,64.3302333
82,45079,Chaghi,Dalbandin,Padag,Malik Gul Zaman,28.9728886 65.1979646,28.9728886,65.1979646
83,45080,Chaghi,Dalbandin,Padag,Safar khan bazgaz,28.8942768 64.9231904,28.8942768,64.9231904
84,45081,Chaghi,Dalbandin,Padag,Muhammad Akbar Sangari,28.9813914 65.1084153,28.9813914,65.1084153
85,45082,Chaghi,Dalbandin,Padag,Muhammad Azeem ,,,
86,45084,Chaghi,Dalbandin,Chaghi,Saeed Abad,29.3449135 64.6716226,29.3449135,64.6716226
87,45086,Chaghi,Dalbandin,Padag,Hafeez Ullah (New site),29.0862354 65.5212156,29.0862354,65.5212156
88,45087,Chaghi,Dalbandin,Chaghi,Taj Muhammad,28.905206 64.4028427,28.905206,64.4028427
89,45088,Chaghi,Dalbandin,Chaghi,Abdul Qayyum,29.1625001 64.7103262,29.1625001,64.7103262
90,45089,Chaghi,Dalbandin,Chaghi,Nok Bandag,29.1327819 64.7176077,29.1327819,64.7176077
91,45090,Chaghi,Dalbandin,Chilghazi,Sharif khan Mukuntuk,29.1212897 64.3262494,29.1212897,64.3262494
92,45091,Chaghi,Dalbandin,Chilghazi,Jumma Khan,29.0564419 64.4500976,29.0564419,64.4500976
93,45667,Chaghi,Chaghi,,Killi Naik Mohammad Amuri,30.7418528 67.5231141,30.7418528,67.5231141
94,45668,Chaghi,Chaghi,,Killi Nazar Mohammad,29.2610595 63.6612082,29.2610595,63.6612082
95,45085,Chaman,Roghani,Chaman,Fazal Hazarganji/Killi Sanzala,,#VALUE!,#VALUE!
96,45265,Chaman,Chaman,Chaman,Killi Haji Akhtar Muhammad,30.9315361 66.4166057,30.9315361,66.4166057
97,45266,Chaman,Chaman,Roghani,Killi Haji Abdul Wali,30.9057313 66.4092794,30.9057313,66.4092794
98,45267,Chaman,Old Chaman,Chaman,Killi Walizai Abad,30.8793316 66.4914915,30.8793316,66.4914915
99,45275,Chaman,Abdullah Khan,Zara Band,Killi Ali Sher Bermzai,30.7852072 66.6605635,30.7852072,66.6605635
100,45291,Chaman,Chaman,Sefa town,Killi Asad Abad,30.8904633 66.4529769,30.8904633,66.4529769
101,45292,Chaman,Chaman,Roghani,Killi Gulam Sarwar,30.8872491 66.4405069,30.8872491,66.4405069
102,45652,Chaman,Abdullah Khan,Zara Band,Killi Gran M Khwajazai,30.7469858 66.6426834,30.7469858,66.6426834
103,45655,Chaman,Abdullah Khan,Zara Band,Killi Muhammad Ali Zarha Band,30.7623769 66.6539535,30.7623769,66.6539535
104,45657,Chaman,Bostan,Karaas,Killi Abdul Bari,30.7764254 66.4580809,30.7764254,66.4580809
105,45659,Chaman,Chaman,Pinakai,Killi Fazel M Pinaki,31.2072292 67.1153636,31.2072292,67.1153636
106,45660,Chaman,Chaman,Sarki Tileri,Killi Haji Lal Muhamad,30.9440797 66.5036465,30.9440797,66.5036465
107,45662,Chaman,Old Chaman,Old chaman,Killi Haji Muhammad Zai,30.8742894 66.5201481,30.8742894,66.5201481
108,45092,Dera Bugti,dera bugti,Dear Bugti,Killi Faiz Muhammad,,,
109,45093,Dera Bugti,Dear Bugti,zain kah,Haji Hangoo Khan,,,
110,45094,Dera Bugti,Sui,Sui,Killi Yadghar,28.6248043 69.1787676,28.6248043,69.1787676
111,45095,Dera Bugti,Sui,Sui,Killi Sangat,,,
112,45096,Dera Bugti,Sui,Gandoi,Killi Tanganwani,28.7367371 69.2525411,28.7367371,69.2525411
113,45098,Dera Bugti,Sui,Sui,Dinari Colony,28.6232235 69.1830852,28.6232235,69.1830852
