SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GGMIDS SANDEMAN TANGI,ZIARAT,Middle,High,Girls,High,67.7198541238222,30.3900056220471,7,Found 7 High schools within 6.0km,GBMODHS ZIARAT,0.27,ZIARAT
GBMIDS SIRKI AHMADOON,ZIARAT,Middle,High,Boys,High,67.3372184425919,30.5075154257315,10,Found 10 High schools within 6.0km,GBHS LOWER KACH,2.43,ZIARAT
GBMIDS PISHIN TOWN (GWALMANDI),PISHIN,Middle,High,Boys,High,66.99470088,30.58161481,12,Found 12 High schools within 6.0km,GBMODHS PISHIN,0.35,PISHIN
GBMIDS NEW KARBALA,PISHIN,Middle,High,Boys,High,66.8911490294645,30.6758017954535,7,Found 7 High schools within 6.0km,GBHS KARBALA,1.88,PISHIN
GBPS MANZARI IBRAHIM ZAI,PISHIN,Primary,Middle,Boys,High,66.9933692389536,30.7444594268965,8,Found 8 Middle schools within 6.0km,GBMIDS MANZARI,1.08,PISHIN
GBMIDS KHUDA-E-DAD ZAI,PISHIN,Middle,High,Boys,High,66.9037149999999,30.6209633333333,7,Found 7 High schools within 6.0km,GGHS KARBALA,1.93,PISHIN
GBPS DUMRAN,PISHIN,Primary,Middle,Boys,High,67.665665,30.6459033333333,1,Found 1 Middle schools within 6.0km,GGMIDS SPAZUNDI,5.22,ZIARAT
GBMIDS TOR KHAIL SYEDAN,KILLA ABDULLAH,Middle,High,Boys,High,66.74133,30.6888099999999,10,Found 10 High schools within 6.0km,GBHS KILLI KULAZAI,0.18,KILLA ABDULLAH
GBPS KILLI MUHAMMED UMAR KHAN,CHAMAN,Primary,Middle,Boys,High,66.4712316735574,30.9360299839714,10,Found 10 Middle schools within 6.0km,GBMIDS KILLI ABDUL REHMAN,0.76,CHAMAN
GBPS KILLI HAJI HAYAT,CHAMAN,Primary,Middle,Boys,High,66.5019050205531,30.943769116835,8,Found 8 Middle schools within 6.0km,GBMIDS KILLI MAHSOOM KHAN,1.74,CHAMAN
GBPS AABEZAN SHELA BAGH,CHAMAN,Primary,Middle,Boys,Medium,66.60979,30.8211016666666,2,Found 2 Middle schools within 6.0km,GBMIDS SHEELA BAGH,0.6,CHAMAN
