BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,WardName,WardNo,VillageName,NA,PA,ClusterBemiscode,ClusterName,ClusterDDOCode,SchoolContactNo,ClusterFeedingSchoolsPrimary,ClusterFeedingSchoolsMiddle,Location,Zone,Shift,Gender,SchoolLevel,FunctionalStatus,ReasonOfNonFunctional,DisableStudentsInSchool,IfYesThenMentionFacilities,RampforStudentsOrTeachers,Building,SchoolOwnedBy,BuildingStructure,BuildingCondition,SpaceForNewRooms,NoOfRoomsWithWindowsAndVantilation,ProperSeverageSystem,WaterFacilityInToilets,BoundaryWall,BoundaryWallStructure,BoundaryWallCondition,PlayGround,ElectricityInArea,ElectricityInSchool,IfYesThenNametheSourceElectricity,IfNoThenGiveTheDistanceOfNearestPoll,GasInArea,GasInSchool,IfYesThenNametheSourceGas,GovtDrinkingWaterScheme,DrinkingWaterAtSchool,SourceOfWater,WaterTank,IfNoThenGiveTheDistanceOfNearestWaterSource,TelephoneAvailabe,FunctionStatusTelephone,ClosedReasonTelephone,InternetAvailabe,FunctionStatusInternet,ClosedReasonInternet,ScienceLab,FunctionStatusScienceLab,ClosedReasonScienceLab,ComputerLab,LibraryAvailable,CleaningResponsibility,WashbasinAvailable,WaterforWashBasin,SoapForWashBasin,CleaningCycleOfWashBasin,TeacherUsesTeachingMeterialOnHealth,MajorDiseaseCauseForAbsentism,FirstaidKit,TrainingOnFirstAidKit,InspectionOfCleaning,SeprateRoomForECE,FullTimeTeacherForECE,TrendExtraCracularActivity,Activity1,AudioAndVideoEquipment,TeacherUsesAudioAndVideoEquipment,TrainingOnMHMKits,MHMKitsAtSchool,PTSMC,PTSMCParticipatedInAnyActivityCurrentYear,NumberOfMeetingsConducted,MeetingRecordesAvailable,ChildOfPTSMCMembersAreEnrolled,AnySDPFormPTSMCLast3Years,ExaminationHall,NumberOfVisitByEducationalManager,Kacha Room,Pakka Room,Kacha HMR,Pakka HMR,Kacha Clerk Office,Pakka Clerk Office,Kacha Hall,Pakka Hall,Kacha Staff Room,Pakka Staff Room,Kacha Guard Room,Pakka Guard Room,Kacha Toilet,Pakka Toilet,KachaSportsRoom,PakkaSportsRoom,KachaResourceCenter,PakkaResourceCenter,KBSch,KBSt,KGSch,KGSt,PBSch,PBSt,PGSch,PGSt,2BSch,2BSt,2GSch,2GSt,3BSch,3BSt,3GSch,3GSt,4BSch,4BSt,4GSch,4GSt,5BSch,5BSt,5GSch,5GSt,6BSch,6BSt,6GSch,6GSt,7BSch,7BSt,7GSch,7GSt,8BSch,8BSt,8GSch,8GSt,9BSch,9BSt,9GSch,9GSt,10BSch,10BSt,10GSch,10GSt,11BSch,11BSt,11GSch,11GSt,12BSch,12BSt,12GSch,12GSt,TotalSchoolProfileStudents,TotalStudentProfileEntered,SencTeaching,AppTeaching,Teaching Male,Teaching Female,TotalTeachingStaff,SencNonTeaching,AppNonTeaching,Nonteaching Male,Nonteaching Female,TotalNonTeachingStaff,Source,X Cod,Y Cod,_xCord,_yCord
1025,GGMIDS SANDEMAN TANGI,ZIARAT,ZIARAT,ZIARAT,ZIARAT,0000,00000,SANDEMAN TANGI,7,6,01033,GGHS ZIARAT,,03332584080,,,Rural,Winter,Single Shift,Girls,Middle,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,8,No,No,Yes,Mix,In-Complete,No,Yes,No,,3|km,Yes,No,,No,No,Nothing,Yes,8|km,No,,,No,,,No,,,No,No,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,No,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,1,1,4,4,4,4,3,3,,0,,0,1,1,1,1,2,2,5,5,3,3,3,3,1,1,8,8,1,1,5,5,,0,,0,,0,,0,,0,,0,,0,,0,49,49,5,5,2,12,14,,,1,1,2,EMIS,30.39951,67.731,30.3900056220471,67.7198541238222
1064,GBMIDS SIRKI AHMADOON,ZIARAT,ZIARAT,ZIARAT,SAROO,AAAAA,000000,SIRKI AHMADOON,258,6,01032,GBHS AHMADOON,,03318049902,,,Urban,Winter,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,6,Yes,Yes,No,,,Yes,Yes,No,,300|m,Yes,No,,Yes,No,Tubewell,Yes,500|m,No,,,No,,,No,,,No,No,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,Sports,No,No,,,Yes,Yes,Yes,No,Yes,No,No,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,27,10,10,19,17,8,7,23,23,8,7,12,13,3,2,10,10,2,1,12,12,0,0,11,9,0,0,9,9,0,0,5,5,0,0,,0,,0,,0,,0,,0,,0,,0,,0,159,152,8,6,6,0,6,2,2,3,0,3,EMIS,30.49783,67.37032,30.5075154257315,67.3372184425919
1115,GBMIDS PISHIN TOWN (GWALMANDI),PISHIN,PISHIN,PISHIN,M.CORP. PISHIN,WARD NO5,5,PISHIN TOWN,265,48,01126,GBMODHS PISHIN,,0301699560,,,Urban,Winter,Single Shift,Boys,Middle,Functional,,Yes,NIL,No,Yes,Educaton Department,Pakka,Need Repair,Yes,12,No,Yes,Yes,Pakka,Complete,No,Yes,Yes,QESCO,0|km,No,No,,Yes,Yes,Naher,Yes,0|km,No,,,No,,,No,,,Yes,No,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,No,Yes,Yes,Yes,Sports,No,No,,,Yes,No,,Yes,Yes,Yes,No,3,0,14,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,88,86,10,12,68,69,6,5,43,43,1,1,40,40,5,5,37,37,0,0,30,30,0,0,23,23,0,0,35,35,0,0,14,14,0,0,,0,,0,,0,,0,,0,,0,,0,,0,400,400,16,17,17,0,17,2,2,0,0,0,EMIS,30.57599,66.99143,30.58161481,66.99470088
1128,GBMIDS NEW KARBALA,PISHIN,PISHIN,PISHIN,KARBALA-I,SURKHAB KARBALA,217,NEW KARBALA,265,49,01127,GBHS KARBALA,PI7082,03468891638,07,02,Rural,Winter,Single Shift,Boys,Middle,Functional,,Yes,NIL,No,Yes,Donated,Pakka,Need Repair,Yes,12,No,No,Yes,Pakka,Need Repair,No,Yes,No,,200|m,Yes,No,,No,No,Nothing,Yes,500|m,No,,,No,,,No,,,No,No,Students,Yes,Yes,Yes,Daily,Yes,Ghazayat Ki Kami,No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,No,Yes,Yes,No,No,5,0,11,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,23,6,6,28,28,2,2,23,23,5,5,17,17,3,3,9,9,0,0,1,1,0,0,,14,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,117,132,7,5,5,0,5,1,0,0,0,0,EMIS,30.67582,66.89101,30.6758017954535,66.8911490294645
1223,GBPS MANZARI IBRAHIM ZAI,PISHIN,HURAMZAI,HURAMZAI,MANZARI-II,NIL,000,MANZARI IBRAHIM ZAI,265,49,01211,GBHS ALI ZAI,,000,,,Rural,Summar,Single Shift,Boys,Primary,Non-Functional,,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,1,No,No,Yes,Kacha,Need Repair,No,No,No,,1|km,Yes,No,,No,No,Nothing,Yes,1|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,Yes,No,Yes,Sports,No,No,,,No,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,EMIS,30.74434,66.99354,30.7444594268965,66.9933692389536
1242,GBMIDS KHUDA-E-DAD ZAI,PISHIN,SARANAN,SARANAN ,M.C. SARANAN,0,22,KHUDAIDAD ZAI,265,49,01131,GBHS HAKALZAI,,03337798038,,,Rural,Winter,Single Shift,Boys,Middle,Functional,,No,,Yes,Yes,Educaton Department,Pakka,Need Repair,Yes,7,No,Yes,Yes,Pakka,Need Repair,No,Yes,Yes,QESCO,0|km,Yes,No,,Yes,Yes,Nalka,Yes,|km,No,,,No,,,No,,,No,No,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,,Yes,Yes,No,No,1,0,9,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,30,30,0,0,15,15,0,0,26,26,0,0,26,26,0,0,18,18,0,0,7,7,0,0,9,9,0,0,5,5,0,0,5,5,0,0,,0,,0,,0,,0,,0,,0,,0,,0,141,141,14,12,13,0,13,4,4,3,0,3,EMIS,30.62082,66.90346,30.6209633333333,66.9037149999999
1339,GBPS DUMRAN,PISHIN,KAREZAT,000,GHARSHINAN,GHARSHINAN,00,DUMRAN,262,18,01342,GBHS GHARSHINAN,,03342590951,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,1,Yes,No,No,,,No,No,No,,5|km,No,No,,No,No,Well,No,00|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,27,28,7,7,6,6,3,3,3,3,10,10,2,2,5,5,3,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,94,94,1,1,1,0,1,,,0,0,0,EMIS,30.64593,67.66626,30.6459033333333,67.665665
1420,GBMIDS TOR KHAIL SYEDAN,KILLA ABDULLAH,KILLA ABDULLAH,QILLA ABDULLAH,KULAK BADWAN,TOOR KHAIL SYEDAN,07,TOR KHAIL SYEDAN,263,22,01478,GBHS KILLI MAIZAI,,03003836010,,,Urban,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,8,No,Yes,Yes,Mix,In-Complete,No,Yes,No,,26|m,No,No,,Yes,No,Nothing,Yes,00|km,No,,,No,,,No,,,No,No,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,Yes,Yes,No,No,Yes,,No,No,,,Yes,,,,,,No,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,51,44,44,43,42,32,30,27,26,13,13,21,22,9,8,12,15,8,5,14,18,8,4,12,13,5,4,8,8,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,307,303,8,10,11,0,11,,,0,0,0,EMIS,30.6882,66.74107,30.6888099999999,66.74133
1730,GBPS KILLI MUHAMMED UMAR KHAN,CHAMAN,CHAMAN,CHAMAN,SIRKI TALRI,NIL,6,KILLI MUHAMMED UMER ,263,23,01835,Haji Abdul shakoor,,03368611000,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,3,No,No,Yes,Mix,Need Repair,No,No,No,,0|km,No,No,,No,No,Nothing,No,30|km,,,,,,,,,,,,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,14,0,10,5,0,3,5,0,0,0,,8,,2,2,6,0,1,,3,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,61,30,2,1,3,0,3,,,0,0,0,EMIS,30.93605,66.47113,30.9360299839714,66.4712316735574
1738,GBPS KILLI HAJI HAYAT,CHAMAN,CHAMAN,CHAMAN,SIRKI TALRI,KILLI HAJI DAD MUHAMAD,01,KILLI HAJI HAYAT,262,23,01740,GBHS KILLI ABDUL RAHIM,,00000000000,,,Urban,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Pakka,Satisfactory ,No,2,Yes,No,Yes,Kacha,In-Complete,Yes,No,No,,500|m,No,No,,No,No,Nothing,No,|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,6,,5,,1,,3,,3,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,20,1,1,1,0,1,,,0,0,0,EMIS,30.94388,66.50189,30.943769116835,66.5019050205531
