SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GGMIDS SANDEMAN TANGI,ZIARAT,Middle,High,Girls,High,67.71985412,30.39000562,7,Found 7 High schools within 6.0km,GBMODHS ZIARAT,0.27,ZIARAT
GBMIDS SIRKI AHMADOON,ZIARAT,Middle,High,Boys,High,67.33721844,30.50751543,10,Found 10 High schools within 6.0km,GBHS LOWER KACH,2.43,ZIARAT
GBMIDS PISHIN TOWN (GWALMANDI),PISHIN,Middle,High,Boys,High,66.99470088,30.58161481,12,Found 12 High schools within 6.0km,GBMODHS PISHIN,0.35,PISHIN
GBMIDS NEW KARBALA,PISHIN,Middle,High,Boys,High,66.89114903,30.6758018,7,Found 7 High schools within 6.0km,GBHS KARBALA,1.88,PISHIN
GBPS MANZARI IBRAHIM ZAI,PISHIN,Primary,Middle,Boys,High,66.99336924,30.74445943,8,Found 8 Middle schools within 6.0km,GBMIDS MANZARI,1.08,PISHIN
GBMIDS KHUDA-E-DAD ZAI,PISHIN,Middle,High,Boys,High,66.903715,30.62096333,7,Found 7 High schools within 6.0km,GGHS KARBALA,1.93,PISHIN
GBPS DUMRAN,PISHIN,Primary,Middle,Boys,High,67.665665,30.64590333,1,Found 1 Middle schools within 6.0km,GGMIDS SPAZUNDI,5.22,ZIARAT
GBMIDS TOR KHAIL SYEDAN,KILLA ABDULLAH,Middle,High,Boys,High,66.74133,30.68881,10,Found 10 High schools within 6.0km,GBHS KILLI KULAZAI,0.18,KILLA ABDULLAH
GBPS KILLI MUHAMMED UMAR KHAN,CHAMAN,Primary,Middle,Boys,High,66.47123167,30.93602998,10,Found 10 Middle schools within 6.0km,GBMIDS KILLI ABDUL REHMAN,0.76,CHAMAN
GBPS KILLI HAJI HAYAT,CHAMAN,Primary,Middle,Boys,High,66.50190502,30.94376912,8,Found 8 Middle schools within 6.0km,GBMIDS KILLI MAHSOOM KHAN,1.74,CHAMAN
GBPS AABEZAN SHELA BAGH,CHAMAN,Primary,Middle,Boys,Medium,66.60979,30.82110167,2,Found 2 Middle schools within 6.0km,GBMIDS SHEELA BAGH,0.6,CHAMAN
GBMIDS SHEELA BAGH,CHAMAN,Middle,High,Boys,Medium,66.60447,30.82215,0,Found 0 High schools within 6.0km,,,
GBPS KILLI ROZ UDDIN,CHAMAN,Primary,Middle,Boys,Medium,66.422848,30.91094114,11,Found 11 Middle schools within 6.0km,GBMIDS KILLI ROZI KHAN,0.52,CHAMAN
GBPS KILLI UMAR MANGAZAI(AMRAT KARAIZ),CHAMAN,Primary,Middle,Boys,Medium,66.50690842,30.94549556,8,Found 8 Middle schools within 6.0km,GBMIDS KILLI MAHSOOM KHAN,2.3,CHAMAN
GBMIDS KILLI MAHSOOM KHAN,CHAMAN,Middle,High,Boys,Medium,66.48643305,30.93941847,15,Found 15 High schools within 6.0km,GGHS KILLI MUHAMMAD AZAM DAMANE CHAMAN,1.4,CHAMAN
