school_name,bemis_code,latitude,longitude,district,in_killa_saifullah
GBPS TALKHAN SAKHOBI,1838,31.1744956139409,68.4788417492901,KILLA SAIFULLAH,False
GBPS KILLI ABDULLAH JAN JOGGIZAI,1840,30.7032146789471,68.3819778350996,KILLA SAIFULLAH,False
GBPS GHUTI,1841,30.7147876286178,68.402508361091,KILLA SAIFULLAH,False
GBPS KHUDAIDAD KHAN GHUTI,1842,30.7225918025254,68.4096693662611,KILLA SAIFULLAH,False
GBPS ABDUL BAQI AKHWANDZADA (NEW LAHORE),1843,30.841733865155,68.2399349153851,KILLA SAIFULLAH,False
GBPS SHER ALI JALALZAI,1844,30.7386940138251,68.4119467231488,KILLA SAIFULLAH,False
GBPS YAHYA WAL,1845,30.7743177190622,68.3912240759319,KILLA SAIFULLAH,False
GBPS ZARY FATHO ZAI,1846,30.7157968960142,68.4711363894412,KILLA SAIFULLAH,False
GBPS KARIGRAN,1847,30.7202289008631,68.4275308741958,KILLA SAIFULLAH,False
GBPS BAHADUR WAL,1848,30.7195045278931,68.4394712497954,KILLA SAIFULLAH,False
GBPS AWAL KHAN,1849,30.6818335350669,68.4022586423636,KILLA SAIFULLAH,False
GBPS JAMIA MASJID QILLAH SAIFULLAH,1850,30.7023877027051,68.3578573292887,KILLA SAIFULLAH,False
GBPS KILLI JAHANGIR,1851,30.6935272804133,68.3457880484103,KILLA SAIFULLAH,False
GBMIDS AHMED ZAI,1852,30.6982299880076,68.3209371102542,KILLA SAIFULLAH,False
GBPS KILLI SHABO ZAI,1853,30.7005910909835,68.3236572381417,KILLA SAIFULLAH,False
GBPS MADRASSA MEER ZAI,1854,30.7017627724411,68.314115485611,KILLA SAIFULLAH,False
GBPS KILLI SHER JAN,1855,30.712620562459,68.2954214922755,KILLA SAIFULLAH,False
GBPS BANDAT PASIN ZAI,1856,30.7736535828568,68.1640523618558,KILLA SAIFULLAH,False
GBPS NESHPA ALI GARH,1857,30.6517965357967,68.4671995914931,KILLA SAIFULLAH,False
GBHS AKHTAR ZAI,1858,30.6714080512442,68.4947221563594,KILLA SAIFULLAH,False
GBPS SHINKI BAH,1859,30.6810193885954,68.5087552879993,KILLA SAIFULLAH,False
GBPS KILLI AKHTAR MUHAMMAD DALEZAI,1860,30.742522429807,68.3964099961347,KILLA SAIFULLAH,False
GBPS TODA SAMI KHULAH,1861,30.6026317991162,68.8762681020816,KILLA SAIFULLAH,False
GBPS BAHERWAL,1862,30.7132847748657,68.3656388161942,KILLA SAIFULLAH,False
GBPS ABDUL KARAIZ,1863,30.7175475660163,68.3280886545542,KILLA SAIFULLAH,False
GBPS NAWAGI SHINAH,1864,30.7302536354802,68.3253284044115,KILLA SAIFULLAH,False
GBPS SHAGAI PAYAZAI,1865,30.7406249795455,68.3876697175313,KILLA SAIFULLAH,False
GBPS SHARAN MUSA ZAI,1866,30.7238096274574,68.3663074564528,KILLA SAIFULLAH,False
GBHS BANDAT MUSAZAI,1867,30.6963761151507,68.3638472028777,KILLA SAIFULLAH,False
GBPS SUR TANGI,1868,30.8231136270157,68.4835480052306,KILLA SAIFULLAH,False
GBPS ZARKAI KHANDAKI,1869,30.7838935817947,68.5950163994644,KILLA SAIFULLAH,False
GBPS TARKHA DOULAT ZAI,1871,30.8312175947751,68.5923024577867,KILLA SAIFULLAH,False
GBPS ZARI KARAIZ,1872,30.7158384629163,68.4711099505938,KILLA SAIFULLAH,False
GBPS NAWGI MANJRA,1873,30.7323085780161,68.3190421918672,KILLA SAIFULLAH,False
GBPS KILLI NANGA,1874,30.7370744700974,68.3284594535918,KILLA SAIFULLAH,False
GBHS KILLI JALAL KHAN,1875,30.7245487709005,68.2782534581848,KILLA SAIFULLAH,False
GBPS QILLAH ZARGHOON,1876,30.6903023288555,68.3837523123344,KILLA SAIFULLAH,False
GBPS KILLI SAITHAN,1877,30.7139877486542,68.3415944473073,KILLA SAIFULLAH,False
GBPS JAWAR TARKAI,1878,30.785268204871,68.3687834303779,KILLA SAIFULLAH,False
GBPS QALANDARA MALAZAI,1880,30.8360922483959,68.343382836225,KILLA SAIFULLAH,False
